id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
3227,Laboratory Analyst,Alumil,6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,Laboratory- Science- R&D/Science
3228,Senior Recruitment Specialist,First Group,Mohandessin,Full Time,Experienced,4-5 Yrs of Exp,Giza,Human Resources (HR)- HR- Real Estate- Construction- English- Human Resources
3229,Student Life Manager,El Sewedy Education,Cairo,Full Time,Manager,8-10 Yrs of Exp,Egypt,Development- Engagement- Other
3230,Systems Analyst,Safa Soft,Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,System Analysis- Software Documentation- Software Testing- SRS- OOP- MySQL- Agile- Scrum- IT/Software Development
3231,Digital Marketing Specialist,CarlCare,Downtown,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,Social Media- E-marketing- Adobe Photoshop- Adobe Illustrator- Digital Media- Marketing/PR/Advertising- Media/Journalism/Publishing
3232,Light Current Pre -Sales Engineer,Electro Mechanic for Energy (EME),New Heliopolis,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,Installation- Light Current- Communication- Access Control- Fire Alarm- Engineering- Sales Skills- Visio- Information Technology (IT)
3233,Local Purchasing Section Head,Hi Pharm,Cairo,Full Time,Manager,5-8 Yrs of Exp,Egypt,Supply Chain- Pharmaceutical- Logistics- Local Purchasing- Logistics/Supply Chain- Purchasing/Procurement
3234,Senior Site Engineer,Ryan,Cairo,Full Time,Manager,15+ Yrs of Exp,Egypt,Civil Engineering- Construction- Mechanical- Electrical- Engineering - Construction/Civil/Architecture- Engineering - Mechanical/Electrical
3235,Social Media Moderator,Queens Health Care,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,Communication- E-marketing- Online Marketing- English- Arabic- Marketing/PR/Advertising- Media/Journalism/Publishing
3236,Admin Assistant,Tiger Med For Medical Agencies,Cairo,Full Time,Experienced,2-7 Yrs of Exp,Egypt,Office Management- Microsoft Office- Administration- Administration- Customer Service/Support- Operations/Management
3237,Technical Customer Support Engineer (Handover),M² Developments,Mohandessin,Full Time,Experienced,5-7 Yrs of Exp,Giza,Technical Support- Civil Engineering- Customer Support- Customer Service- Engineering - Construction/Civil/Architecture
3238,Receptionist,Confidential,New Nozha,Full Time,Entry Level,1+ Yrs of Exp,Cairo,Secretary- Administration- Office Management- Microsoft Office- Receptionist- Front Office- Front Desk- Customer Service- MS Office
3239,Software Development Technical Head (.Net),Orient Egypt,Dokki,Full Time,Manager,15-20 Yrs of Exp,Giza,Information Technology (IT)- Software Development- Software Engineering- TFS- C++- Python- Design Patterns- .NET- SaaS- Cloud
